detector nhit eta pt phi_res phi_resE theta_res theta_resE pt_res pt_resE p_res p_resE
MM_6_eq_2D 3 0.9316316147538235 5 0.000644376 5.03118e-06 0.000329626 2.82862e-06 0.014213 0.000112498 0.0141862 0.000110776
MM_6_eq_2D 5 0.9316316147538235 5 0.00063667 5.1448e-06 0.000331869 2.91974e-06 0.0141753 0.000114494 0.0141804 0.000114587
MM_6_eq_2D 1 0.9316316147538235 6 0.000601846 4.87931e-06 0.000271881 2.30509e-06 0.0158662 0.000126682 0.0158448 0.000126122
MM_6_eq_2D 2 0.9316316147538235 6 0.000602999 4.67823e-06 0.000268328 2.29908e-06 0.0159675 0.000125454 0.0159718 0.000125881
MM_6_eq_2D 3 0.9316316147538235 6 0.000606641 4.59495e-06 0.000266287 2.24555e-06 0.0160501 0.000129889 0.0160345 0.000129861
MM_6_eq_2D 5 0.9316316147538235 6 0.000610074 4.93563e-06 0.000277411 2.34848e-06 0.015992 0.00012768 0.0159467 0.000124864
MM_6_eq_2D 1 0.9316316147538235 7 0.000579831 4.64864e-06 0.000225827 1.99757e-06 0.0177057 0.000136707 0.0177187 0.000137057
MM_6_eq_2D 2 0.9316316147538235 7 0.000573364 4.46179e-06 0.000223202 1.92448e-06 0.0174342 0.000134212 0.0173975 0.000133005
MM_6_eq_2D 3 0.9316316147538235 7 0.000577428 4.46312e-06 0.000225281 1.93242e-06 0.0176827 0.000139469 0.0176557 0.000139077
MM_6_eq_2D 5 0.9316316147538235 7 0.000578663 4.31327e-06 0.000220547 1.91336e-06 0.0177195 0.00013794 0.0176844 0.00013735
MM_6_eq_2D 1 0.9316316147538235 8 0.000568391 4.41913e-06 0.00019476 1.64937e-06 0.0196705 0.000147933 0.0197059 0.000148262
MM_6_eq_2D 2 0.9316316147538235 8 0.000562635 4.46211e-06 0.000188287 1.57832e-06 0.0195721 0.000152226 0.0195619 0.000151366
MM_6_eq_2D 3 0.9316316147538235 8 0.00056052 4.38452e-06 0.000188235 1.63598e-06 0.0193774 0.000149722 0.0194987 0.000155162
MM_6_eq_2D 5 0.9316316147538235 8 0.00055912 4.3179e-06 0.000194705 1.65294e-06 0.0193671 0.000151306 0.0193917 0.000151695
MM_6_eq_2D 1 0.9316316147538235 9 0.000559389 4.12691e-06 0.00016687 1.46269e-06 0.0215418 0.000168849 0.0215888 0.000169956
MM_6_eq_2D 2 0.9316316147538235 9 0.000551835 4.21353e-06 0.000171032 1.46194e-06 0.0216735 0.000167867 0.0216405 0.000165195
MM_6_eq_2D 3 0.9316316147538235 9 0.00055911 4.39398e-06 0.000164583 1.45463e-06 0.0214787 0.000165125 0.0214297 0.000164293
MM_6_eq_2D 5 0.9316316147538235 9 0.000553378 4.36065e-06 0.000164437 1.42703e-06 0.0211523 0.000165504 0.0211804 0.000166574
MM_6_eq_2D 1 0.9316316147538235 10 0.000547527 4.18215e-06 0.000146058 1.26772e-06 0.0232566 0.000175012 0.0232744 0.000177334
MM_6_eq_2D 2 0.9316316147538235 10 0.000541923 4.23029e-06 0.000148066 1.2666e-06 0.0231772 0.0001784 0.0231265 0.000176976
MM_6_eq_2D 3 0.9316316147538235 10 0.000542045 4.29422e-06 0.000149482 1.32778e-06 0.0232072 0.000182557 0.0231982 0.000182798
MM_6_eq_2D 5 0.9316316147538235 10 0.000545996 4.25266e-06 0.000145852 1.26035e-06 0.0233468 0.000183986 0.0233125 0.000183443
MM_6_eq_2D 1 0.4316947267462241 1 0.00143052 1.17343e-05 0.0019935 1.60504e-05 0.00740891 6.0321e-05 0.00734169 5.90988e-05
